opcode,a_type,b_type,result,zero,cov_gain,gain_label
6,ZERO,LARGE,0,1,0.78125,1
6,SMALL,LARGE,0,1,0.78125,1
1,LARGE,SMALL,45,0,0.78125,1
0,LARGE,LARGE,9,0,0.78125,1
5,ZERO,LARGE,0,1,0.78125,1
1,SMALL,LARGE,4294967244,0,0.78125,1
5,LARGE,LARGE,25600,0,0.78125,1
4,LARGE,ZERO,4294967284,0,0.78125,1
1,ZERO,LARGE,3,0,0.78125,1
5,LARGE,ZERO,19,0,0.78125,1
2,LARGE,ZERO,0,1,0.78125,1
7,ZERO,SMALL,1,0,0.78125,1
7,ZERO,LARGE,1,0,0.78125,1
3,LARGE,SMALL,4294967291,0,0.78125,1
7,LARGE,ZERO,0,1,0.78125,1
5,LARGE,LARGE,46137344,0,0.0,0
6,SMALL,SMALL,3,0,0.78125,1
0,SMALL,LARGE,4294967295,0,0.78125,1
2,LARGE,SMALL,0,1,0.78125,1
0,LARGE,LARGE,4294967279,0,0.0,0
6,LARGE,SMALL,3,0,0.78125,1
1,SMALL,LARGE,4294967251,0,0.0,0
7,LARGE,SMALL,0,1,0.78125,1
3,LARGE,SMALL,14,0,0.0,0
5,SMALL,LARGE,32768,0,0.78125,1
0,SMALL,ZERO,3,0,0.78125,1
0,ZERO,SMALL,8,0,0.78125,1
7,SMALL,ZERO,0,1,0.78125,1
2,LARGE,LARGE,26,0,0.78125,1
3,SMALL,ZERO,7,0,0.78125,1
0,LARGE,LARGE,4294967269,0,0.0,0
1,SMALL,ZERO,7,0,0.78125,1
5,LARGE,ZERO,4294967280,0,0.0,0
4,LARGE,SMALL,4294967288,0,0.78125,1
3,LARGE,LARGE,4294967279,0,0.78125,1
6,ZERO,LARGE,0,1,0.0,0
7,ZERO,SMALL,1,0,0.0,0
0,SMALL,LARGE,4294967287,0,0.0,0
0,LARGE,LARGE,4294967283,0,0.0,0
0,LARGE,LARGE,128,0,0.0,0
0,SMALL,SMALL,2,0,0.78125,1
7,LARGE,LARGE,0,1,0.78125,1
5,SMALL,LARGE,576,0,0.0,0
2,LARGE,LARGE,4294967281,0,0.0,0
2,LARGE,LARGE,80,0,0.0,0
2,SMALL,SMALL,1,0,0.78125,1
2,SMALL,SMALL,0,1,0.0,0
0,SMALL,LARGE,53,0,0.0,0
3,LARGE,LARGE,4294967295,0,0.0,0
2,SMALL,LARGE,1,0,0.78125,1
5,SMALL,ZERO,1,0,0.78125,1
1,SMALL,ZERO,4,0,0.0,0
4,LARGE,LARGE,4294967177,0,0.78125,1
6,LARGE,SMALL,67108863,0,0.0,0
3,ZERO,SMALL,3,0,0.78125,1
0,SMALL,ZERO,6,0,0.0,0
4,SMALL,LARGE,4294967282,0,0.78125,1
7,LARGE,SMALL,1,0,0.0,0
4,LARGE,LARGE,4294967220,0,0.0,0
3,LARGE,LARGE,4294967293,0,0.0,0
3,LARGE,ZERO,4294967279,0,0.78125,1
4,ZERO,SMALL,3,0,0.78125,1
4,LARGE,LARGE,4294967263,0,0.0,0
0,LARGE,SMALL,23,0,0.78125,1
2,LARGE,SMALL,6,0,0.0,0
3,ZERO,SMALL,8,0,0.0,0
6,SMALL,LARGE,0,1,0.0,0
2,LARGE,LARGE,36,0,0.0,0
7,LARGE,SMALL,1,0,0.0,0
2,SMALL,LARGE,0,1,0.0,0
2,LARGE,ZERO,0,1,0.0,0
2,ZERO,SMALL,0,1,0.78125,1
7,SMALL,LARGE,0,1,0.78125,1
6,LARGE,LARGE,1,0,0.78125,1
2,LARGE,LARGE,59,0,0.0,0
1,ZERO,LARGE,16,0,0.0,0
0,LARGE,ZERO,4294967287,0,0.78125,1
6,LARGE,LARGE,1048575,0,0.0,0
6,LARGE,LARGE,9,0,0.0,0
3,SMALL,ZERO,1,0,0.0,0
3,ZERO,LARGE,84,0,0.78125,1
0,SMALL,ZERO,8,0,0.0,0
2,LARGE,LARGE,67,0,0.0,0
1,LARGE,LARGE,97,0,0.78125,1
7,LARGE,ZERO,0,1,0.0,0
0,ZERO,LARGE,4294967289,0,0.78125,1
7,LARGE,SMALL,0,1,0.0,0
6,LARGE,LARGE,0,1,0.0,0
0,LARGE,SMALL,53,0,0.0,0
3,LARGE,LARGE,4294967293,0,0.0,0
3,LARGE,SMALL,4294967285,0,0.0,0
0,ZERO,LARGE,4294967278,0,0.0,0
5,LARGE,ZERO,4294967283,0,0.0,0
1,LARGE,ZERO,71,0,0.78125,1
3,LARGE,ZERO,4294967288,0,0.0,0
6,LARGE,SMALL,2,0,0.0,0
3,LARGE,SMALL,39,0,0.0,0
6,LARGE,SMALL,3,0,0.0,0
4,SMALL,LARGE,4294967273,0,0.0,0
0,LARGE,SMALL,20,0,0.0,0
2,LARGE,LARGE,10,0,0.0,0
4,SMALL,LARGE,4294967288,0,0.0,0
6,ZERO,ZERO,0,1,0.78125,1
5,LARGE,LARGE,4285530112,0,0.0,0
2,SMALL,ZERO,0,1,0.78125,1
6,ZERO,SMALL,0,1,0.78125,1
6,SMALL,LARGE,0,1,0.0,0
6,LARGE,LARGE,2047,0,0.0,0
7,SMALL,LARGE,1,0,0.0,0
4,SMALL,SMALL,2,0,0.78125,1
5,SMALL,ZERO,8,0,0.0,0
2,ZERO,LARGE,0,1,0.78125,1
5,LARGE,LARGE,4294966528,0,0.0,0
6,SMALL,SMALL,0,1,0.0,0
1,SMALL,ZERO,8,0,0.0,0
3,ZERO,SMALL,3,0,0.0,0
1,ZERO,SMALL,4294967295,0,0.78125,1
4,ZERO,SMALL,4,0,0.0,0
4,LARGE,ZERO,44,0,0.0,0
4,LARGE,ZERO,4294967285,0,0.0,0
7,LARGE,LARGE,1,0,0.0,0
2,LARGE,ZERO,0,1,0.0,0
0,LARGE,ZERO,54,0,0.0,0
5,SMALL,ZERO,2,0,0.0,0
2,LARGE,LARGE,4294967284,0,0.0,0
3,LARGE,SMALL,77,0,0.0,0
5,ZERO,LARGE,0,1,0.0,0
7,LARGE,LARGE,0,1,0.0,0
7,LARGE,SMALL,0,1,0.0,0
0,LARGE,ZERO,4294967291,0,0.0,0
5,SMALL,ZERO,2,0,0.0,0
6,SMALL,LARGE,0,1,0.0,0
1,LARGE,LARGE,80,0,0.0,0
3,ZERO,LARGE,57,0,0.0,0
2,LARGE,LARGE,16,0,0.0,0
7,LARGE,SMALL,0,1,0.0,0
7,SMALL,ZERO,0,1,0.0,0
7,LARGE,LARGE,0,1,0.0,0
